order_id,customer_id,order_maker_id,order_date,order_time,completion_time,is_complain,complain_detail,created_date
TRX000001,CUST007150,EMP000286,01/01/2025,11:38:36,12:03:29,0,,2025-01-01 11:38:41
TRX000002,CUST003319,EMP000646,01/01/2025,11:57:40,12:09:32,0,,2025-01-01 11:57:45
TRX000003,CUST001979,EMP000437,01/01/2025,12:12:28,12:38:02,1,Missing toppings,2025-01-01 12:12:33
TRX000004,CUST007254,EMP000302,01/01/2025,12:16:31,12:32:46,1,Missing toppings,2025-01-01 12:16:36
TRX000005,CUST004392,EMP000231,01/01/2025,12:21:30,12:33:05,0,,2025-01-01 12:21:35
TRX000006,CUST002637,EMP000437,01/01/2025,12:29:36,12:51:58,0,,2025-01-01 12:29:41
TRX000007,CUST001120,EMP000302,01/01/2025,12:50:37,13:05:46,0,,2025-01-01 12:50:42
TRX000008,CUST008782,EMP000286,01/01/2025,12:51:37,13:10:27,0,,2025-01-01 12:51:42
TRX000009,CUST005127,EMP000295,01/01/2025,12:52:01,13:09:05,0,,2025-01-01 12:52:06
TRX000010,CUST007931,EMP000437,01/01/2025,13:00:15,13:14:11,0,,2025-01-01 13:00:20
TRX000011,CUST004105,EMP000231,01/01/2025,13:02:59,13:27:56,0,,2025-01-01 13:03:04
TRX000012,CUST007482,EMP000560,01/01/2025,13:04:41,13:19:20,0,,2025-01-01 13:04:46
TRX000013,CUST004504,EMP000231,01/01/2025,13:11:55,13:25:24,0,,2025-01-01 13:12:00
TRX000014,CUST001597,EMP000302,01/01/2025,13:14:19,13:40:56,0,,2025-01-01 13:14:24
TRX000015,CUST001128,EMP000286,01/01/2025,13:33:00,13:53:31,0,,2025-01-01 13:33:05
TRX000016,CUST005109,EMP000560,01/01/2025,13:34:07,14:01:20,0,,2025-01-01 13:34:12
TRX000017,CUST002583,EMP000665,01/01/2025,13:53:00,14:06:11,1,Wrong pizza size,2025-01-01 13:53:05
TRX000018,CUST001597,EMP000437,01/01/2025,13:57:08,14:24:26,0,,2025-01-01 13:57:13
TRX000019,CUST001704,EMP000295,01/01/2025,13:59:09,14:15:45,0,,2025-01-01 13:59:14
TRX000020,CUST001704,EMP000560,01/01/2025,14:03:08,14:18:24,1,Missing toppings,2025-01-01 14:03:13
TRX000021,CUST004778,EMP000437,01/01/2025,14:14:29,14:31:46,0,,2025-01-01 14:14:34
TRX000022,CUST006034,EMP000756,01/01/2025,14:16:26,14:31:00,0,,2025-01-01 14:16:31
TRX000023,CUST006814,EMP000286,01/01/2025,14:19:03,14:46:44,0,,2025-01-01 14:19:08
TRX000024,CUST009381,EMP000437,01/01/2025,14:23:01,14:49:19,0,,2025-01-01 14:23:06
TRX000025,CUST001704,EMP000437,01/01/2025,14:44:44,15:04:20,0,,2025-01-01 14:44:49
TRX000026,CUST006333,EMP000208,01/01/2025,14:54:26,15:23:02,0,,2025-01-01 14:54:31
TRX000027,CUST004945,EMP000665,01/01/2025,15:11:17,15:39:35,0,,2025-01-01 15:11:22
TRX000028,CUST006964,EMP000560,01/01/2025,15:35:46,15:52:26,0,,2025-01-01 15:35:51
TRX000029,CUST006964,EMP000646,01/01/2025,15:41:01,15:58:12,1,Pizza was burnt,2025-01-01 15:41:06
TRX000030,CUST009162,EMP000286,01/01/2025,15:41:25,16:06:24,0,,2025-01-01 15:41:30
TRX000031,CUST003147,EMP000756,01/01/2025,15:50:18,16:06:50,0,,2025-01-01 15:50:23
TRX000032,CUST001704,EMP000756,01/01/2025,15:53:18,16:16:43,0,,2025-01-01 15:53:23
TRX000033,CUST004817,EMP000437,01/01/2025,15:54:08,16:10:33,0,,2025-01-01 15:54:13
TRX000034,CUST008535,EMP000231,01/01/2025,16:21:21,16:39:18,0,,2025-01-01 16:21:26
TRX000035,CUST008674,EMP000646,01/01/2025,16:32:04,16:48:09,1,Dough undercooked,2025-01-01 16:32:09
TRX000036,CUST003319,EMP000560,01/01/2025,16:54:09,17:04:30,0,,2025-01-01 16:54:14
TRX000037,CUST003319,EMP000208,01/01/2025,16:56:09,17:18:48,0,,2025-01-01 16:56:14
TRX000038,CUST008422,EMP000286,01/01/2025,17:03:00,17:15:19,0,,2025-01-01 17:03:05
TRX000039,CUST009162,EMP000295,01/01/2025,17:07:23,17:19:07,0,,2025-01-01 17:07:28
TRX000040,CUST003553,EMP000665,01/01/2025,17:14:36,17:40:21,0,,2025-01-01 17:14:41
TRX000041,CUST007809,EMP000437,01/01/2025,17:15:20,17:35:32,0,,2025-01-01 17:15:25
TRX000042,CUST008987,EMP000231,01/01/2025,17:28:09,17:39:06,0,,2025-01-01 17:28:14
TRX000043,CUST003228,EMP000231,01/01/2025,17:38:34,17:50:25,0,,2025-01-01 17:38:39
TRX000044,CUST003553,EMP000437,01/01/2025,17:54:20,18:19:26,0,,2025-01-01 17:54:25
TRX000045,CUST001704,EMP000665,01/01/2025,17:55:48,18:14:33,0,,2025-01-01 17:55:53
TRX000046,CUST007656,EMP000295,01/01/2025,18:25:51,18:40:07,0,,2025-01-01 18:25:56
TRX000047,CUST004392,EMP000665,01/01/2025,18:26:34,18:54:14,0,,2025-01-01 18:26:39
TRX000048,CUST007854,EMP000665,01/01/2025,18:26:42,18:49:48,0,,2025-01-01 18:26:47
TRX000049,CUST005956,EMP000286,01/01/2025,18:33:00,18:44:49,0,,2025-01-01 18:33:05
TRX000050,CUST004778,EMP000295,01/01/2025,18:41:01,19:03:34,1,Pizza was burnt,2025-01-01 18:41:06
TRX000051,CUST001704,EMP000646,01/01/2025,18:48:28,19:00:46,0,,2025-01-01 18:48:33
TRX000052,CUST007768,EMP000286,01/01/2025,18:53:02,19:13:23,0,,2025-01-01 18:53:07
TRX000053,CUST005218,EMP000231,01/01/2025,18:54:17,19:07:54,0,,2025-01-01 18:54:22
TRX000054,CUST002287,EMP000286,01/01/2025,19:01:45,19:20:57,0,,2025-01-01 19:01:50
TRX000055,CUST009381,EMP000286,01/01/2025,19:03:19,19:18:13,0,,2025-01-01 19:03:24
TRX000056,CUST005264,EMP000665,01/01/2025,19:07:00,19:29:48,0,,2025-01-01 19:07:05
TRX000057,CUST008422,EMP000208,01/01/2025,19:10:51,19:30:38,0,,2025-01-01 19:10:56
TRX000058,CUST004778,EMP000302,01/01/2025,19:30:40,19:55:47,0,,2025-01-01 19:30:45
TRX000059,CUST007768,EMP000231,01/01/2025,19:40:08,20:05:06,0,,2025-01-01 19:40:13
TRX000060,CUST007482,EMP000665,01/01/2025,20:05:16,20:23:58,0,,2025-01-01 20:05:21
TRX000061,CUST007156,EMP000665,01/01/2025,20:08:43,20:35:31,1,Order took too long,2025-01-01 20:08:48
TRX000062,CUST006333,EMP000646,01/01/2025,20:50:16,21:14:10,0,,2025-01-01 20:50:21
TRX000063,CUST007747,EMP000295,01/01/2025,20:51:42,21:04:40,0,,2025-01-01 20:51:47
TRX000064,CUST005770,EMP000437,01/01/2025,20:52:08,21:07:02,0,,2025-01-01 20:52:13
TRX000065,CUST007443,EMP000295,01/01/2025,21:16:00,21:37:11,0,,2025-01-01 21:16:05
TRX000066,CUST004020,EMP000437,01/01/2025,21:47:55,22:04:07,0,,2025-01-01 21:48:00
TRX000067,CUST003553,EMP000756,01/01/2025,22:03:40,22:20:20,0,,2025-01-01 22:03:45
TRX000068,CUST009381,EMP000756,01/01/2025,22:07:32,22:30:55,1,Received wrong pizza,2025-01-01 22:07:37
TRX000069,CUST002287,EMP000231,01/01/2025,22:12:13,22:24:26,0,,2025-01-01 22:12:18
TRX000070,CUST002945,EMP000646,01/02/2025,11:38:51,11:55:45,0,,2025-01-02 11:38:56
TRX000071,CUST005109,EMP000437,01/02/2025,11:40:50,12:06:47,1,Order took too long,2025-01-02 11:40:55
TRX000072,CUST005270,EMP000646,01/02/2025,11:57:25,12:17:39,0,,2025-01-02 11:57:30
TRX000073,CUST004609,EMP000665,01/02/2025,11:58:56,12:11:05,1,Missing toppings,2025-01-02 11:59:01
TRX000074,CUST006964,EMP000302,01/02/2025,12:01:12,12:29:50,0,,2025-01-02 12:01:17
TRX000075,CUST004547,EMP000437,01/02/2025,12:10:15,12:26:56,0,,2025-01-02 12:10:20
TRX000076,CUST004392,EMP000646,01/02/2025,12:21:17,12:44:51,0,,2025-01-02 12:21:22
TRX000077,CUST001979,EMP000208,01/02/2025,12:22:46,12:41:29,0,,2025-01-02 12:22:51
TRX000078,CUST006034,EMP000437,01/02/2025,12:28:14,12:55:49,0,,2025-01-02 12:28:19
TRX000079,CUST003549,EMP000665,01/02/2025,12:29:11,12:50:54,1,Pizza was burnt,2025-01-02 12:29:16
TRX000080,CUST006034,EMP000437,01/02/2025,12:35:38,13:05:34,0,,2025-01-02 12:35:43
TRX000081,CUST007854,EMP000437,01/02/2025,12:40:01,12:52:47,0,,2025-01-02 12:40:06
